n,Global_Region,Country,Full_Or_Age_Disagg_Data,Was_Initially_Zero?,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Age_Group_2,Age_Group_Raw,Age Group Notes,Rainy_Or_Dry,Notes on rainy/dry,"(for old papers, admin unit 1)"
Tiedje,West Africa,Ghana,2,N,1,1,545,369,0.67706422,901,356,0.39511654,New,,,Children&Adults,,rainy,,
,West Africa,Ghana,2,N,1,1,547,444,0.811700183,999,452,0.45245245,New,,,Children&Adults,,rainy,,
,West Africa,Ghana,2,N,1,1,655,271,0.413740458,910,255,0.28021978,New,,,Children&Adults,,dry,,
,West Africa,Ghana,2,N,1,1,700,304,0.434285714,958,258,0.26931106,New,,,Children&Adults,,dry,,
Tadesse,East Africa,Ethiopia,2,N,0,0,490,45,0.091836735,490,16,0.03265306,New,,,Children&Adults,,rainy,,
Goncalves,West Africa,Burkina Faso,2,N,1,1,198,100,0.505050505,197,51,0.25888325,New,,,Children&Adults,,,,
,West Africa,Burkina Faso,2,N,1,1,198,166,0.838383838,199,104,0.52261307,New,,,Children&Adults,,,,
,East Africa,Kenya,2,N,0,1,139,52,0.374100719,139,9,0.0647482,New,,,Children&Adults,,,,
,East Africa,Kenya,2,N,0,1,274,105,0.383211679,274,47,0.17153285,New,,,Children&Adults,,,,
Walldorf,East Africa,Malawi,2,N,1,1,161,7,0.043478261,157,5,0.03184713,New,0-15,0-5,0-5,,rainy,,
,East Africa,Malawi,2,N,1,1,177,6,0.033898305,176,3,0.01704545,New,0-15,0-5,0-5,,dry,,
,East Africa,Malawi,2,N,0,1,184,11,0.059782609,184,9,0.04891304,New,0-15,0-5,0-5,,rainy,,
,East Africa,Malawi,2,N,0,1,152,2,0.013157895,152,3,0.01973684,New,0-15,0-5,0-5,,dry,,
,East Africa,Malawi,2,N,0,1,170,8,0.047058824,170,1,0.00588235,New,0-15,0-5,0-5,,rainy,,
,East Africa,Malawi,2,N,0,1,192,10,0.052083333,196,12,0.06122449,New,0-15,0-5,0-5,,dry,,
,East Africa,Malawi,2,N,1,1,185,23,0.124324324,182,15,0.08241758,New,0-15,5-15years,5-15years,,rainy,,
,East Africa,Malawi,2,N,1,1,250,22,0.088,250,8,0.032,New,0-15,5-15years,5-15years,,dry,,
,East Africa,Malawi,2,N,0,1,328,42,0.12804878,328,36,0.1097561,New,0-15,5-15years,5-15years,,rainy,,
,East Africa,Malawi,2,N,0,1,325,24,0.073846154,326,14,0.04294479,New,0-15,5-15years,5-15years,,dry,,
,East Africa,Malawi,2,N,0,1,382,41,0.107329843,381,24,0.06299213,New,0-15,5-15years,5-15years,,rainy,,
,East Africa,Malawi,2,N,0,1,413,27,0.065375303,422,13,0.03080569,New,0-15,5-15years,5-15years,,dry,,
,East Africa,Malawi,2,N,1,1,362,27,0.074585635,353,6,0.01699717,New,0-15,15+,15+,,rainy,,
,East Africa,Malawi,2,N,1,1,419,15,0.035799523,417,4,0.00959233,New,0-15,15+,15+,,dry,,
,East Africa,Malawi,2,N,0,1,433,33,0.076212471,434,19,0.0437788,New,0-15,15+,15+,,rainy,,
,East Africa,Malawi,2,N,0,1,445,36,0.080898876,445,13,0.02921348,New,0-15,15+,15+,,rainy,,
,East Africa,Malawi,2,N,0,1,436,17,0.038990826,444,6,0.01351351,New,0-15,15+,15+,,dry,,
,East Africa,Malawi,2,N,1,1,183,37,0.202185792,177,27,0.15254237,New,0-15,0-5,0-5,,rainy,,
,East Africa,Malawi,2,N,1,1,192,26,0.135416667,190,20,0.10526316,New,0-15,0-5,0-5,,dry,,
,East Africa,Malawi,2,N,0,1,219,47,0.214611872,219,36,0.16438356,New,0-15,0-5,0-5,,rainy,,
,East Africa,Malawi,2,N,0,1,229,22,0.096069869,229,23,0.10043668,New,0-15,0-5,0-5,,dry,,
,East Africa,Malawi,2,N,0,1,221,69,0.312217195,221,43,0.19457014,New,0-15,0-5,0-5,,rainy,,
,East Africa,Malawi,2,N,0,1,220,35,0.159090909,220,29,0.13181818,New,0-15,0-5,0-5,,dry,,
,East Africa,Malawi,2,N,1,1,298,114,0.382550336,283,79,0.27915194,New,0-15,5-15years,5-15years,,rainy,,
,East Africa,Malawi,2,N,1,1,372,117,0.314516129,349,60,0.17191977,New,0-15,5-15years,5-15years,,dry,,
,East Africa,Malawi,2,N,0,1,400,178,0.445,401,141,0.35162095,New,0-15,5-15years,5-15years,,rainy,,
,East Africa,Malawi,2,N,0,1,372,106,0.284946237,372,76,0.20430108,New,0-15,5-15years,5-15years,,dry,,
,East Africa,Malawi,2,N,0,1,369,159,0.430894309,368,133,0.36141304,New,0-15,5-15years,5-15years,,rainy,,
,East Africa,Malawi,2,N,0,1,427,129,0.302107728,427,85,0.19906323,New,0-15,5-15years,5-15years,,dry,,
,East Africa,Malawi,2,N,1,1,406,79,0.194581281,395,35,0.08860759,New,0-15,15+,15+,,rainy,,
,East Africa,Malawi,2,N,1,1,464,68,0.146551724,461,22,0.04772234,New,0-15,15+,15+,,dry,,
,East Africa,Malawi,2,N,0,1,486,112,0.230452675,486,63,0.12962963,New,0-15,15+,15+,,rainy,,
,East Africa,Malawi,2,N,0,1,455,71,0.156043956,480,33,0.06875,New,0-15,15+,15+,,dry,,
,East Africa,Malawi,2,N,0,1,453,133,0.293598234,451,70,0.15521064,New,0-15,15+,15+,,rainy,,
,East Africa,Malawi,2,N,0,1,478,76,0.158995816,479,25,0.05219207,New,0-15,15+,15+,,dry,,
,East Africa,Malawi,2,N,1,1,163,11,0.067484663,159,14,0.08805031,New,0-15,0-5,0-5,,rainy,,
,East Africa,Malawi,2,N,1,1,189,9,0.047619048,188,9,0.04787234,New,0-15,0-5,0-5,,dry,,
,East Africa,Malawi,2,N,0,1,187,19,0.101604278,189,16,0.08465608,New,0-15,0-5,0-5,,rainy,,
,East Africa,Malawi,2,N,0,1,169,7,0.041420118,169,2,0.01183432,New,0-15,0-5,0-5,,dry,,
,East Africa,Malawi,2,N,0,1,161,17,0.105590062,161,11,0.06832298,New,0-15,0-5,0-5,,rainy,,
